scenario,drifted_period,event_time,correlation_id,target_kind,target_value,fan_in_count,epoch_age_seconds,triggering_source_ip,ti_matched,signal_id_count,label
benign_quiet,False,2026-07-01T01:50:34.025098+00:00,23aac2e6-5c25-4f1a-8d59-4170226184fa,user,user_4831,1,3412.2,203.0.113.37,False,1,0
ti_confirmed,False,2026-07-01T02:02:21.663483+00:00,0458589e-afa4-43ab-a963-7fc42e7ef591,user,user_4862,1,61900.02,203.0.113.78,True,3,0
low_and_slow,False,2026-07-01T02:03:03.548975+00:00,8eafadde-b04f-401a-9342-6dcc238b7873,user,user_3076,17,58579.92,203.0.113.165,True,1,1
loud_burst,False,2026-07-01T02:04:35.142629+00:00,7ed9b2ef-63d2-4945-b4d1-7b03ad38a83b,user,user_2161,35,270.8,203.0.113.169,False,3,1
ambiguous_mid,False,2026-07-01T02:05:09.306676+00:00,aa6974fd-4965-40de-958b-ddc478878309,user,user_2421,4,,203.0.113.144,False,3,0
benign_shared_nat,False,2026-07-01T02:05:23.995067+00:00,9579ac0b-042f-46b4-bffe-c5f2478c9955,user,user_4502,,18838.05,203.0.113.243,False,2,0
benign_shared_nat,False,2026-07-01T02:08:24.538570+00:00,2f3faeae-34f7-433a-a0fa-09a30a0d5255,user,user_1737,7,23521.43,203.0.113.240,False,3,0
loud_burst,False,2026-07-01T02:10:39.713389+00:00,6f7cbd35-c3de-48bb-813c-983cab0a42df,user,user_617,32,,203.0.113.174,True,1,1
ambiguous_mid,False,2026-07-01T02:10:48.306011+00:00,1da36af9-c2d3-4a84-8a7c-9e6cee059fa8,user,user_1457,7,17800.24,203.0.113.30,True,3,0
loud_burst,False,2026-07-01T02:18:35.154410+00:00,167a0636-ccca-428b-97b7-fe703dff7970,user,user_1263,34,282.77,203.0.113.158,False,1,1
loud_burst,False,2026-07-01T02:24:42.750988+00:00,dbb8fcce-68cf-408a-8a1c-bfd88a5cd97a,user,user_2066,33,14.59,203.0.113.8,True,1,1
low_and_slow,False,2026-07-01T02:30:15.994182+00:00,1943d17f-3176-44ef-b8d0-d011b914604d,user,user_3024,7,78873.62,203.0.113.102,True,1,1
ti_confirmed,False,2026-07-01T02:37:29.602515+00:00,8e995c7f-bd24-43ab-be6e-6bfb3dec4135,user,user_303,4,,203.0.113.18,True,2,1
benign_slow_natural,False,2026-07-01T02:47:54.849625+00:00,f93f11d7-5991-49e7-ba3b-8f1ef87096e4,user,user_4767,3,67342.35,203.0.113.221,False,3,0
loud_burst,False,2026-07-01T02:51:37.231145+00:00,defd2f9e-7db1-4581-b079-89e9e35a743a,user,user_2084,17,60.45,203.0.113.88,False,2,1
benign_slow_natural,False,2026-07-01T02:51:38.846029+00:00,5ecde2d9-065c-4356-87c6-ab5cb9959686,user,user_4706,,28233.25,203.0.113.171,False,3,0
benign_shared_nat,False,2026-07-01T02:53:35.779871+00:00,2d56cb6f-dd2e-408d-b663-ca7595b3d1d5,user,user_2784,8,10033.93,203.0.113.33,False,1,0
benign_slow_natural,False,2026-07-01T02:59:05.701256+00:00,3e67c11a-7633-4f04-98da-884bc8d4c8b7,user,user_4489,2,45653.45,203.0.113.234,False,1,0
benign_quiet,False,2026-07-01T03:05:33.287173+00:00,8a26819a-8328-44a0-9a00-038de90d24b5,user,user_1861,1,2521.06,203.0.113.78,False,1,0
ambiguous_mid,False,2026-07-01T03:07:53.325967+00:00,74b3ba90-dbc6-4bf8-bf7b-123e92e5b4ef,user,user_2765,5,5692.68,203.0.113.52,False,2,1
benign_shared_nat,False,2026-07-01T03:08:16.635208+00:00,2ab63072-3fd1-4c2f-ba7f-cc609ca0aae2,user,user_196,7,15722.51,203.0.113.157,False,1,0
loud_burst,False,2026-07-01T03:12:17.387687+00:00,266ee1cb-6f6b-44c0-b205-99596ede03eb,user,user_1669,33,20.23,203.0.113.93,True,2,1
ambiguous_mid,False,2026-07-01T03:16:32.894266+00:00,23d32cc7-eb09-4678-8726-2b51ad69c04f,user,user_1916,5,12241.63,203.0.113.216,False,3,0
loud_burst,False,2026-07-01T03:26:25.183404+00:00,6ffad871-0554-4c33-90d2-fa8cfa843009,user,user_1538,20,88.94,203.0.113.167,False,1,1
ambiguous_mid,False,2026-07-01T03:27:42.977485+00:00,5e533b18-9e3a-484a-a0de-41a12a9b23af,user,user_4720,6,,203.0.113.193,False,3,0
ti_confirmed,False,2026-07-01T03:29:05.598303+00:00,786890b4-b999-44a3-88c9-9c11d80f82b6,user,user_2300,5,48690.65,203.0.113.178,True,1,1
ambiguous_mid,False,2026-07-01T03:36:16.823690+00:00,799a16c8-b9a0-4c31-b5d2-5b0cfc5f2d1b,user,user_1003,4,6733.05,203.0.113.236,False,3,0
benign_shared_nat,False,2026-07-01T03:40:53.725200+00:00,b66388d5-9c4c-4948-91e3-bad5d0473013,user,user_4738,5,17307.8,203.0.113.9,False,2,0
loud_burst,False,2026-07-01T03:43:46.763242+00:00,45d2e67e-ee93-4d22-9875-a7a2e7c40fe8,user,user_4616,21,19.04,203.0.113.86,False,1,1
benign_slow_natural,False,2026-07-01T03:53:30.312263+00:00,d186c2ae-0178-4728-8ab1-307abddddedd,user,user_603,4,62953.4,203.0.113.114,False,2,0
loud_burst,False,2026-07-01T03:54:16.599331+00:00,56fecbe5-dd84-430f-8c65-3bc275093c86,user,user_2438,20,293.78,203.0.113.251,False,2,1
low_and_slow,False,2026-07-01T03:55:57.858620+00:00,990b56ce-d5bb-4b50-9346-b5218ad05cbf,user,user_2875,,64935.75,203.0.113.239,True,2,1
low_and_slow,False,2026-07-01T04:03:16.906651+00:00,efc987d0-fba8-4f39-9b14-d263556b06a2,user,user_2643,8,76081.69,203.0.113.133,False,1,1
ambiguous_mid,False,2026-07-01T04:08:32.072988+00:00,081ec514-a984-4d18-9e30-24a4cc1aa8e2,user,user_3204,7,,203.0.113.213,False,3,0
benign_slow_natural,False,2026-07-01T04:09:11.080746+00:00,8e6b863c-2d36-4826-aa66-a793e669cfbd,user,user_2479,2,,203.0.113.143,False,2,0
ti_confirmed,False,2026-07-01T04:11:57.191813+00:00,bcf3eff8-ab0d-4c1c-8b57-ad0f5b02d69c,user,user_2216,5,51839.57,203.0.113.177,True,3,1
benign_slow_natural,False,2026-07-01T04:12:00.424910+00:00,d42eb240-2d16-401a-836e-afee7e42ed42,user,user_832,4,38107.59,203.0.113.123,False,2,0
benign_shared_nat,False,2026-07-01T04:13:24.869429+00:00,db3d91ae-955d-4bea-998b-86e57445962f,user,user_2211,9,6323.51,203.0.113.31,False,1,0
ti_confirmed,False,2026-07-01T04:13:45.099264+00:00,f7360362-f11f-4168-8657-913f63fe093c,user,user_510,5,27557.22,203.0.113.58,True,2,1
benign_slow_natural,False,2026-07-01T04:15:56.717089+00:00,34be717c-aafb-4300-b0d4-d6f96287cd2d,user,user_1695,4,45514.61,203.0.113.132,False,2,0
low_and_slow,False,2026-07-01T04:34:04.704338+00:00,b4d6beb1-75ac-4f9c-9c45-2d3e1b861f52,user,user_4399,20,26759.16,203.0.113.40,True,1,1
benign_slow_natural,False,2026-07-01T04:40:51.681799+00:00,443396f5-9292-4886-9b3b-8090a9d3f92d,user,user_2933,2,27411.94,203.0.113.53,False,1,0
low_and_slow,False,2026-07-01T04:41:06.653238+00:00,590fa97e-8ce8-4c14-8e48-b7184625be5a,user,user_3148,18,83165.77,203.0.113.194,False,2,1
benign_quiet,False,2026-07-01T04:41:44.442988+00:00,4acb8a19-a403-4b7d-9b6f-3fd43de1469b,user,user_2765,3,588.73,203.0.113.156,False,2,0
ambiguous_mid,False,2026-07-01T04:44:09.787355+00:00,bdd1aff8-1ccd-4b97-84e5-ec698d9edde3,user,user_4111,4,13277.05,203.0.113.252,False,3,0
loud_burst,False,2026-07-01T04:53:33.800964+00:00,1e2ba7ec-2dea-47a1-b22e-9396bbe093b8,user,user_1129,9,48.78,203.0.113.207,True,1,1
low_and_slow,False,2026-07-01T04:58:05.654772+00:00,3337bbc7-b827-4a6b-b089-dc7d6da45048,user,user_3209,16,77051.77,203.0.113.222,True,1,1
benign_shared_nat,False,2026-07-01T05:03:07.785930+00:00,0eb55a20-3ba3-40a0-9b05-e34749766290,user,user_2053,6,20333.09,203.0.113.236,False,1,0
benign_quiet,False,2026-07-01T05:03:44.213654+00:00,1bb4a1a6-8f98-4423-b2f0-7518c7ee1599,user,user_3272,2,1515.35,203.0.113.13,False,3,0
benign_slow_natural,False,2026-07-01T05:06:16.676174+00:00,05476e8a-ca4b-48d0-af2a-4dd9889c1564,user,user_2948,3,42577.4,203.0.113.18,False,1,0
low_and_slow,False,2026-07-01T05:07:22.077436+00:00,0d8abbf2-7578-4d4d-9223-a603b84f837b,user,user_4404,21,58042.82,203.0.113.177,True,2,1
ti_confirmed,False,2026-07-01T05:09:04.125745+00:00,e3b8d7b8-157b-4a7a-9748-b2643d8f5733,user,user_5,2,50377.91,203.0.113.31,True,1,1
benign_quiet,False,2026-07-01T05:12:19.060843+00:00,d3f867ac-ed1c-47c0-9b9b-7cd04ee3358e,user,user_3150,3,2486.66,203.0.113.111,False,3,0
low_and_slow,False,2026-07-01T05:13:38.243934+00:00,7b443635-634a-4459-a876-9d101f214fc4,user,user_3063,21,,203.0.113.76,False,2,1
benign_slow_natural,False,2026-07-01T05:20:20.078915+00:00,38959994-8558-4555-8a55-185f86731313,user,user_4261,3,75268.81,203.0.113.78,False,1,0
ambiguous_mid,False,2026-07-01T05:22:46.332712+00:00,7d05b3bf-f6f0-45ef-8c40-761ed1f8d930,user,user_748,6,14190.37,203.0.113.179,False,3,0
loud_burst,False,2026-07-01T05:24:53.048856+00:00,faeab25d-86cc-4fb7-8530-3fc6d12b2c84,user,user_4432,35,210.11,203.0.113.210,True,3,1
ambiguous_mid,False,2026-07-01T05:25:03.992248+00:00,63678a39-e6ac-43f0-a84d-96ea115e4416,user,user_2777,,12321.3,203.0.113.166,False,1,1
ti_confirmed,False,2026-07-01T05:25:34.531291+00:00,c4d1d7cf-5622-4c01-b41e-f50574f97af2,user,user_4860,7,23858.7,203.0.113.56,True,3,1
low_and_slow,False,2026-07-01T05:27:57.355845+00:00,5b53c464-e900-4fb4-9c24-4299f46a1f2a,user,user_3728,10,16784.35,203.0.113.247,False,1,1
benign_shared_nat,False,2026-07-01T05:35:08.712000+00:00,2dad487c-41fc-47f8-b98f-3350b74d5469,user,user_1943,6,6948.41,203.0.113.71,False,1,0
benign_slow_natural,False,2026-07-01T05:35:56.673354+00:00,5d3acade-fd67-4efe-9403-c5c3c22fe9d5,user,user_3309,4,28415.97,203.0.113.216,False,3,0
benign_quiet,False,2026-07-01T05:39:28.611813+00:00,2e2aeaa9-7167-4255-ba5a-f953404d56bd,user,user_216,3,2790.31,203.0.113.17,False,3,0
ti_confirmed,False,2026-07-01T05:41:39.320228+00:00,022e00fb-223f-41ad-a09e-0d7b004d1aef,user,user_1981,9,47436.83,203.0.113.218,True,2,1
ti_confirmed,False,2026-07-01T05:45:08.860378+00:00,cc528304-f5e5-49e2-8ebd-60690e6fa81b,user,user_1829,7,,203.0.113.132,True,1,1
low_and_slow,False,2026-07-01T05:46:22.077346+00:00,0fe5f76d-fd9e-4f30-ad74-40006f8b51c4,user,user_4785,15,78621.55,203.0.113.59,True,2,1
ti_confirmed,False,2026-07-01T05:47:10.378564+00:00,5d1139ea-6128-45e9-9185-dfba258fa54c,user,user_3897,2,60309.76,203.0.113.206,True,1,1
benign_quiet,False,2026-07-01T05:48:53.236134+00:00,5edeaafd-433c-42e6-85f0-b27db6d50bb6,user,user_1740,1,1161.3,203.0.113.147,,3,0
benign_quiet,False,2026-07-01T05:49:13.924013+00:00,f5e73868-1d5d-4479-bbc4-6d16398a4a25,user,user_3039,1,,203.0.113.82,False,1,0
ti_confirmed,False,2026-07-01T05:49:53.863911+00:00,8a11e5ff-7eb0-4884-9b0b-eff90a50dc91,user,user_2396,7,5871.89,203.0.113.202,True,3,1
low_and_slow,False,2026-07-01T05:53:57.790448+00:00,502fa167-6b6c-4a5c-bcf0-0a16f08e9b62,user,user_1668,10,82803.11,203.0.113.170,False,3,1
benign_slow_natural,False,2026-07-01T05:54:32.084986+00:00,f3b61c5f-a15b-4ffd-b104-4c79037804aa,user,user_708,3,23937.37,203.0.113.237,False,1,0
ti_confirmed,False,2026-07-01T05:55:51.470330+00:00,48a1ee4a-cffd-4c01-9313-3597b7201147,user,user_2546,7,68898.6,203.0.113.20,True,1,1
benign_slow_natural,False,2026-07-01T06:03:20.523229+00:00,1a8b93e7-f7c5-4cc3-bb2f-feae7da7e51c,user,user_1302,3,23052.61,203.0.113.50,False,3,0
benign_shared_nat,False,2026-07-01T06:08:57.035623+00:00,45e45aae-c912-43b5-81d4-4cee8b32ca08,user,user_1617,5,28853.59,203.0.113.54,False,3,0
benign_quiet,False,2026-07-01T06:16:29.345695+00:00,357293bb-d390-476a-9e0e-0bbe27b08eca,user,user_1732,3,3362.61,203.0.113.190,False,1,0
ti_confirmed,False,2026-07-01T06:19:15.838459+00:00,ec7a52db-d5db-43c3-b384-f5a034e4b84e,user,user_431,5,50622.07,203.0.113.112,True,2,1
ti_confirmed,False,2026-07-01T06:22:53.000896+00:00,f25c71d2-c107-406e-a17e-9668b75952f8,user,user_4305,10,43110.59,203.0.113.131,True,3,1
ambiguous_mid,False,2026-07-01T06:24:40.836519+00:00,9dc9cc84-7629-408b-9067-c9dd9de579eb,user,user_3790,5,3741.43,203.0.113.225,False,2,0
ti_confirmed,False,2026-07-01T06:24:44.419300+00:00,080efc08-30d7-40e5-9ae7-397e1f5f3d2e,user,user_1992,2,35467.42,203.0.113.178,True,1,1
benign_slow_natural,False,2026-07-01T06:34:30.787213+00:00,0ef325bf-8da9-4e10-aea7-a01bfcf6acdc,user,user_732,3,74064.14,203.0.113.173,False,2,0
loud_burst,False,2026-07-01T06:49:37.033607+00:00,a89f8478-7c56-404b-97c4-14bbb459f1c3,user,user_1607,28,221.3,203.0.113.119,False,1,1
ti_confirmed,False,2026-07-01T06:56:32.393287+00:00,dbd80a61-0235-47aa-82ed-9fdfddb87a00,user,user_3883,1,,203.0.113.94,True,2,1
loud_burst,False,2026-07-01T06:58:27.625096+00:00,7eada10b-8905-4e39-bc8f-c88709ea8ce7,user,user_2743,25,213.05,203.0.113.195,False,1,1
benign_shared_nat,False,2026-07-01T07:02:43.348563+00:00,0d07ded7-019e-43c9-93f9-9024f0024430,user,user_3966,6,18914.02,203.0.113.156,False,3,0
benign_shared_nat,False,2026-07-01T07:06:42.470578+00:00,87b0f597-8c5b-49c2-a160-582c9be25393,user,user_3509,5,35305.5,203.0.113.51,False,2,0
low_and_slow,False,2026-07-01T07:07:36.753388+00:00,0d6380ae-0b3b-4f8d-88f4-deae29e27335,user,user_1614,22,32629.04,203.0.113.242,False,1,0
benign_shared_nat,False,2026-07-01T07:09:16.782948+00:00,38a276b9-a1e0-4266-b90d-840fef7a7d00,user,user_4808,7,,203.0.113.60,False,1,1
loud_burst,False,2026-07-01T07:13:00.369729+00:00,29e426bb-b725-4826-add8-01ea77fde033,user,user_1766,22,76.71,203.0.113.175,False,1,1
loud_burst,False,2026-07-01T07:15:58.549521+00:00,06e0b385-74c6-4471-a8e5-f075f54c2cec,user,user_4628,20,7.29,203.0.113.96,False,2,1
low_and_slow,False,2026-07-01T07:20:27.890386+00:00,6abdca15-d629-4e55-9186-676bcd22e37a,user,user_1306,10,65798.03,203.0.113.132,True,3,1
ti_confirmed,False,2026-07-01T07:20:53.654988+00:00,7ee085f6-f4dd-48f5-8f26-c22cee5b23c7,user,user_1608,1,22556.95,203.0.113.19,True,3,1
benign_slow_natural,False,2026-07-01T07:23:53.876951+00:00,2d3800da-b671-4690-bd2c-ef64c7154ec9,user,user_2058,4,54520.29,203.0.113.25,False,1,0
benign_slow_natural,False,2026-07-01T07:24:28.146330+00:00,2d5168ee-41fd-4c1d-980b-081263026da9,user,user_1512,2,50156.26,203.0.113.109,False,2,0
ambiguous_mid,False,2026-07-01T07:26:02.996632+00:00,88f61777-32f4-4e88-88d1-2ea2cebb291d,user,user_166,,13187.48,203.0.113.142,False,3,0
ambiguous_mid,False,2026-07-01T07:26:08.366376+00:00,201787b7-199f-4f44-8c6c-83088a543db9,user,user_3318,4,8600.79,203.0.113.254,False,3,1
ambiguous_mid,False,2026-07-01T07:28:00.666884+00:00,e9e5a4e2-7802-4573-aac7-0755c619c71c,user,user_1833,,17817.89,203.0.113.183,True,1,1
benign_quiet,False,2026-07-01T07:34:25.089911+00:00,f094aaff-efe1-49a1-b418-8112bfd802ac,user,user_3937,1,2878.75,203.0.113.45,False,2,0
low_and_slow,False,2026-07-01T07:37:15.680512+00:00,e39b714f-aeab-4ef6-b0ff-71669fde67ef,user,user_1041,,57129.83,203.0.113.68,False,3,1
benign_shared_nat,False,2026-07-01T07:49:39.069008+00:00,dcff91af-d7ed-4e23-93c8-2635fad51313,user,user_3354,8,11597.46,203.0.113.215,False,3,0
benign_shared_nat,False,2026-07-01T07:59:07.805818+00:00,22653691-ebb6-4ca0-b4aa-a41c5044f644,user,user_1203,9,33602.57,203.0.113.94,False,1,0
benign_slow_natural,False,2026-07-01T07:59:18.401868+00:00,234db3e3-2af4-4bb8-97be-7103042697c3,user,user_3589,3,50553.53,203.0.113.100,False,1,0
loud_burst,False,2026-07-01T08:00:08.980093+00:00,87b66e81-0222-45c2-af93-d5ee2ef72927,user,user_4300,,180.36,203.0.113.252,False,3,1
low_and_slow,False,2026-07-01T08:01:32.859902+00:00,8b8d3264-4ea4-4ae5-b910-efb54e80e870,user,user_742,21,67061.75,203.0.113.249,True,3,1
benign_shared_nat,False,2026-07-01T08:02:29.658390+00:00,2666e265-d6ef-401f-a739-a9637d958055,user,user_4283,8,2247.38,203.0.113.212,False,1,0
ti_confirmed,False,2026-07-01T08:06:02.580738+00:00,b799bca6-d741-4b34-ae4e-a217dd89d1ce,user,user_3928,4,35814.64,203.0.113.42,True,2,1
low_and_slow,False,2026-07-01T08:09:28.086013+00:00,9006f027-b34b-48f8-95d5-b1f1daf68217,user,user_4665,7,46252.14,203.0.113.116,False,2,1
ti_confirmed,False,2026-07-01T08:11:11.323350+00:00,efb3f45b-0dad-466a-bb55-8fc96e315324,user,user_2001,4,12172.06,203.0.113.77,True,2,1
benign_slow_natural,False,2026-07-01T08:15:43.115892+00:00,f8e10d7d-93b5-41d2-85b6-abdfacb1eba8,user,user_1028,2,,203.0.113.96,False,3,0
loud_burst,False,2026-07-01T08:20:50.002023+00:00,cf0a3bcc-147e-4259-a9f8-aad4a39458da,user,user_1151,32,227.36,203.0.113.39,False,1,1
loud_burst,False,2026-07-01T08:31:37.866370+00:00,b14e4eaa-a097-4c55-8b39-ce8d9a801da3,user,user_4245,12,71.54,203.0.113.185,False,3,1
ti_confirmed,False,2026-07-01T08:34:10.572106+00:00,952512ce-29c8-46ee-ac50-cd35aef2853a,user,user_3393,8,54141.93,203.0.113.123,True,2,1
loud_burst,False,2026-07-01T08:38:32.810843+00:00,13859a2a-376e-469c-b676-47ee2beea0bb,user,user_1348,30,253.43,203.0.113.75,False,1,1
loud_burst,False,2026-07-01T08:39:01.475804+00:00,bff7027e-cae7-4ac9-9db1-2775905b1db5,user,user_2713,23,17.84,203.0.113.119,False,1,1
low_and_slow,False,2026-07-01T08:40:48.220101+00:00,41723369-36b0-45be-ae84-72bcd22020a6,user,user_4700,16,74230.71,203.0.113.184,False,2,0
ti_confirmed,False,2026-07-01T08:48:39.746533+00:00,a052fcac-ed1b-4acf-9f45-2d3449df9a3a,user,user_876,9,62745.91,203.0.113.23,True,2,1
benign_quiet,False,2026-07-01T08:49:48.266842+00:00,c45a986e-2a3e-4659-8df0-08fbf27d6aab,user,user_1461,3,2951.44,203.0.113.17,False,2,0
low_and_slow,False,2026-07-01T08:50:01.992966+00:00,1c934008-e1ff-46a2-8cfd-ab0c5fecf165,user,user_2719,12,65633.14,203.0.113.61,False,3,1
benign_shared_nat,False,2026-07-01T08:52:37.777124+00:00,08c57934-04c4-485b-a0ed-2fc694461973,user,user_1158,6,11099.92,203.0.113.85,False,1,0
benign_shared_nat,False,2026-07-01T08:52:44.089659+00:00,4a74b2e0-9cb7-4567-b9c8-2918d761244d,user,user_3648,9,,203.0.113.75,False,3,0
benign_slow_natural,False,2026-07-01T08:52:57.966917+00:00,80aff45c-762e-42fc-a524-f58e2fb393e7,user,user_2845,3,76750.96,203.0.113.196,False,3,0
ambiguous_mid,False,2026-07-01T08:53:01.765075+00:00,7cc80b6b-b36b-47fa-81a1-4c889021e5f0,user,user_3012,5,17976.49,203.0.113.151,True,2,1
low_and_slow,False,2026-07-01T08:53:34.069269+00:00,60472feb-d4cd-413f-b845-a17d9dae6618,user,user_3775,20,57255.22,203.0.113.161,True,2,1
ti_confirmed,False,2026-07-01T08:57:25.557670+00:00,ecb9780b-c60a-49de-b445-a8386d541f14,user,user_1794,9,54053.13,203.0.113.175,True,1,1
benign_quiet,False,2026-07-01T08:58:30.754497+00:00,a0d7609a-7f28-4573-bd28-a65a8782848f,user,user_4658,,1425.48,203.0.113.225,False,1,0
benign_slow_natural,False,2026-07-01T08:59:38.578893+00:00,9a11b0d4-f48d-43d7-930a-24e38e574033,user,user_2972,3,,203.0.113.129,False,1,0
ambiguous_mid,False,2026-07-01T09:04:13.771081+00:00,f6748de2-e882-4213-b158-28ab6c6eaab7,user,user_4670,7,5624.29,203.0.113.201,False,2,0
benign_quiet,False,2026-07-01T09:06:15.169671+00:00,de90271a-a1d9-4746-9aff-e9ad3d8a42b4,user,user_4651,3,1087.79,203.0.113.146,False,3,0
low_and_slow,False,2026-07-01T09:08:39.254503+00:00,b8e6b9a8-e999-4ed2-bf5c-36aaaeac16cc,user,user_396,15,27964.14,203.0.113.68,True,3,1
benign_quiet,False,2026-07-01T09:10:51.009108+00:00,55048017-3c52-443f-88fe-57a68cea5eb1,user,user_4807,3,1066.03,203.0.113.115,False,2,0
ti_confirmed,False,2026-07-01T09:19:25.645796+00:00,065f32aa-7188-4c73-bc37-20191612f90d,user,user_366,3,,203.0.113.97,True,2,1
benign_quiet,False,2026-07-01T09:22:28.528194+00:00,202d9222-2f19-4694-9d7e-5bc9fa524e8a,user,user_509,3,3219.25,203.0.113.243,False,3,0
ambiguous_mid,False,2026-07-01T09:29:37.586640+00:00,8cd1c3c4-3df1-4b4b-b968-08fc74a990ed,user,user_4599,5,2749.43,203.0.113.178,True,2,0
ti_confirmed,False,2026-07-01T09:33:06.703597+00:00,ae9da59c-5c90-4630-a38f-7bda8ff4b71e,user,user_3708,10,48473.43,203.0.113.162,True,1,1
low_and_slow,False,2026-07-01T09:37:29.010501+00:00,48f16893-0727-41ed-9491-91e01a39a894,user,user_2870,10,19844.25,203.0.113.213,True,2,1
loud_burst,False,2026-07-01T09:40:58.443367+00:00,2896e91d-13b2-4a43-9291-600e6d007a0e,user,user_3680,15,7.62,203.0.113.137,False,2,1
ti_confirmed,False,2026-07-01T09:45:53.709848+00:00,6cb3c6ba-9b2c-4c1a-834e-1c59899bd0a9,user,user_1039,1,47031.07,203.0.113.6,True,1,1
benign_shared_nat,False,2026-07-01T09:49:35.522719+00:00,7694c819-4f8a-4f6e-85ec-64bd16ab5b12,user,user_4017,7,14649.2,203.0.113.50,False,2,1
loud_burst,False,2026-07-01T09:50:42.242376+00:00,be85616d-aa8d-4b70-b724-36fbc9b37092,user,user_2424,21,220.2,203.0.113.210,False,1,1
ambiguous_mid,False,2026-07-01T09:51:22.457252+00:00,cebed89e-dce8-49f1-a81f-95c59a4beec3,user,user_1597,4,15498.44,203.0.113.174,False,3,1
